campo,activo,meses_inactivo,operadora,departamento,latitud,longitud,meses_historia,bpd_medio,bpd_ultimo,bpd_pico,madurez,declinacion_anual_pct,arps_b,arps_tipo,arps_exito,volatilidad,meses_sin_produccion
UNDERRIVER,False,7,ECOPETROL S.A.,BOYACA,6.08836941,-74.58692106,140,2102.235770735436,984.1290322580645,4347.133333333333,0.22638574821523713,0.0011999928000272497,1.0,armónica,True,0.13991667837542116,0
UNIFICADO PALOGRANDE,True,0,ECOPETROL S.A.,HUILA,3.027123,-75.279999,35,2101.5846933592125,2338.1012903225806,2504.9083870967743,0.9334079052018642,2.1932995387171195,0.999999999999985,armónica,True,0.06460973562556119,0
UNIFICADO RÍO CEIBAS,True,0,ECOPETROL S.A.,HUILA,2.962196,-75.174269,25,585.2623433179724,787.2745161290322,787.2745161290322,1.0,0.001199992800038352,0.9999999945404373,armónica,True,0.0828697052592208,0
UNUMA,True,0,COLOMBIA ENERGY DEVELOPMENT CO ANTES HARKEN DE COLOMBIA II LIMITADA SUCURSAL COLOMBIA,META,4.066039981,-72.01484013,139,143.1960555845805,17.21451612903226,610.4,0.028202025113093478,72.91684483438733,0.9999999999999999,armónica,True,0.42109288680121226,0
VALDIVIA - ALMAGRO,True,0,IBEROAMERICANA DE HIDROCARBUROS ENERGY COLOMBIA S.A.S,META,3.905929,-72.661109,40,482.86914541951376,451.5451612903226,523.2903225806451,0.862896067069412,4.017925554080836,0.0,exponencial,True,0.02379637968145728,0
VALDIVIA ALMAGRO,False,41,IBEROAMERICANA DE HIDROCARBUROS ENERGY COLOMBIA S.A.S,META,3.90592903,-72.66110873,106,257.991088281179,227.16129032258064,344.9032258064516,0.6586232697343809,5.937384092420239,0.0,exponencial,True,0.07067278435916216,0
VELASQUEZ,True,0,MANSAROVAR ENERGY COLOMBIA LTD,BOYACA,6.016655,-74.49809864,147,3366.8355862793233,4476.543870967742,5224.066666666667,0.8569078759142447,0.0011999928000272497,1.0,armónica,True,0.04400478605008317,0
VENUS,True,0,HUPECOL OPERATING CO LLC,META,3.527075698,-72.96334797,60,305.4822508055688,406.7916129032258,830.5,0.48981530752947117,20.366510128438286,0.0,exponencial,True,1.0939999715179725,0
VIGIA,True,0,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CASANARE,4.935477087,-72.1489333,146,406.8425072197346,196.4683870967742,1209.2,0.16247799131390522,29.300254419811335,0.9999999999999306,armónica,True,0.12639899517035574,0
VIGIA SUR,True,0,EMERALD ENERGY PLC SUCURSAL COLOMBIA,CASANARE,4.898482673,-72.15813796,146,1265.3996751255472,738.3974193548387,2036.4666666666667,0.36258753037360725,42.336910366835845,0.6970920971046726,hiperbólica,True,0.1296883551001048,0
VIKINGO,True,0,INTEROIL COLOMBIA EXPLORATION AND PRODUCTION ANTES MERCANTILE COLOMBIA OIL AND GAS MCOG,CASANARE,4.964166751,-71.31095846,98,199.5352481147393,94.88548387096773,616.3548387096774,0.15394619772858112,4.223933788215772,0.0,exponencial,True,0.5694553691622284,0
VIREO,True,0,PERENCO COLOMBIA LIMITED,CASANARE,5.032445107,-71.21842196,146,155.19674885010306,74.67677419354838,661.4333333333333,0.1129014375752886,11.214021838451826,0.0,exponencial,True,0.19024551787853444,0
VOLCANERA,False,57,ECOPETROL S.A.,CASANARE,5.358359265,-72.5168064,52,56.16529782786735,1.8333333333333333,96.51612903225806,0.018995098039215685,40.47111405514101,0.0,exponencial,True,0.8740509410440691,0
VONU,False,33,GRAN TIERRA ENERGY COLOMBIA GMBH SUCURSAL COLOMBIA,PUTUMAYO,0.966987725,-76.60480615,65,473.78309949598054,1.2333333333333334,2002.8064516129032,0.0006158025566275281,88.00543277581112,0.1474948532655153,hiperbólica,True,0.4773666304337506,0
YAGUARA,True,0,ECOPETROL S.A.,HUILA,2.618399174,-75.52680903,147,1752.611347574943,1106.0912903225808,2810.064516129032,0.39361775645146485,4.73901253704998,5.680089944378429e-08,exponencial,True,0.04869465970458164,0
YAGUAZO,True,0,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",CASANARE,5.572048408,-71.11324984,146,1015.7468862291364,236.58354838709678,3502.266666666667,0.06755155186748489,3.994901685466312,1.112744243483843e-07,exponencial,True,0.18535967267160675,0
YAMÚ,True,0,PERENCO OIL AND GAS COLOMBIA LIMITED.,CASANARE,5.645026,-71.740226,116,47.67968937845553,53.38354838709678,126.64516129032258,0.4215206316861947,0.0011999928000272497,1.0,armónica,True,0.6880516317154786,0
YARIGUÍ-CANTAGALLO,True,0,ECOPETROL S.A.,BOLIVAR,7.362492,-73.920238,147,16011.863244970747,12691.096451612902,21200.967741935485,0.5986092996363525,6.0213180485382045,1.0,armónica,True,0.0835802168681492,0
